因子,术数,组,原子,期望值
疾厄宫天府,ziwei,1,结论,1
疾厄宫天府,ziwei,1,依据,疾厄宫坐天府（《紫微斗数全书》疾厄宫论）
疾厄宫太阴,ziwei,1,"宫含[疾厄宫,太阴,任意]",1
疾厄宫太阴,ziwei,1,结论,1
疾厄宫太阴,ziwei,1,依据,疾厄宫坐太阴（《紫微斗数全书》疾厄宫论）
疾厄宫贪狼,ziwei,1,"宫含[疾厄宫,贪狼,任意]",1
疾厄宫贪狼,ziwei,1,结论,1
疾厄宫贪狼,ziwei,1,依据,疾厄宫坐贪狼（《紫微斗数全书》疾厄宫论）
疾厄宫巨门,ziwei,1,"宫含[疾厄宫,巨门,任意]",1
疾厄宫巨门,ziwei,1,结论,1
疾厄宫巨门,ziwei,1,依据,疾厄宫坐巨门（《紫微斗数全书》疾厄宫论）
疾厄宫天相,ziwei,1,"宫含[疾厄宫,天相,任意]",1
疾厄宫天相,ziwei,1,结论,1
疾厄宫天相,ziwei,1,依据,疾厄宫坐天相（《紫微斗数全书》疾厄宫论）
疾厄宫天梁,ziwei,1,"宫含[疾厄宫,天梁,任意]",1
疾厄宫天梁,ziwei,1,结论,1
疾厄宫天梁,ziwei,1,依据,疾厄宫坐天梁（《紫微斗数全书》疾厄宫论）
疾厄宫七杀,ziwei,1,"宫含[疾厄宫,七杀,任意]",1
疾厄宫七杀,ziwei,1,结论,1
疾厄宫七杀,ziwei,1,依据,疾厄宫坐七杀（《紫微斗数全书》疾厄宫论）
疾厄宫破军,ziwei,1,"宫含[疾厄宫,破军,任意]",1
疾厄宫破军,ziwei,1,结论,1
疾厄宫破军,ziwei,1,依据,疾厄宫坐破军（《紫微斗数全书》疾厄宫论）
迁移宫紫微,ziwei,1,"宫含[迁移宫,紫微,任意]",1
迁移宫紫微,ziwei,1,结论,1
迁移宫紫微,ziwei,1,依据,迁移宫坐紫微（《紫微斗数全书》迁移宫论）
迁移宫天机,ziwei,1,"宫含[迁移宫,天机,任意]",1
迁移宫天机,ziwei,1,结论,1
迁移宫天机,ziwei,1,依据,迁移宫坐天机（《紫微斗数全书》迁移宫论）
迁移宫太阳,ziwei,1,"宫含[迁移宫,太阳,任意]",1
迁移宫太阳,ziwei,1,结论,1
迁移宫太阳,ziwei,1,依据,迁移宫坐太阳（《紫微斗数全书》迁移宫论）
迁移宫武曲,ziwei,1,"宫含[迁移宫,武曲,任意]",1
迁移宫武曲,ziwei,1,结论,1
迁移宫武曲,ziwei,1,依据,迁移宫坐武曲（《紫微斗数全书》迁移宫论）
迁移宫天同,ziwei,1,"宫含[迁移宫,天同,任意]",1
迁移宫天同,ziwei,1,结论,1
迁移宫天同,ziwei,1,依据,迁移宫坐天同（《紫微斗数全书》迁移宫论）
迁移宫廉贞,ziwei,1,"宫含[迁移宫,廉贞,任意]",1
迁移宫廉贞,ziwei,1,结论,1
迁移宫廉贞,ziwei,1,依据,迁移宫坐廉贞（《紫微斗数全书》迁移宫论）
迁移宫天府,ziwei,1,"宫含[迁移宫,天府,任意]",1
迁移宫天府,ziwei,1,结论,1
迁移宫天府,ziwei,1,依据,迁移宫坐天府（《紫微斗数全书》迁移宫论）
迁移宫太阴,ziwei,1,"宫含[迁移宫,太阴,任意]",1
迁移宫太阴,ziwei,1,结论,1
迁移宫太阴,ziwei,1,依据,迁移宫坐太阴（《紫微斗数全书》迁移宫论）
迁移宫贪狼,ziwei,1,"宫含[迁移宫,贪狼,任意]",1
迁移宫贪狼,ziwei,1,结论,1
迁移宫贪狼,ziwei,1,依据,迁移宫坐贪狼（《紫微斗数全书》迁移宫论）
迁移宫巨门,ziwei,1,"宫含[迁移宫,巨门,任意]",1
迁移宫巨门,ziwei,1,结论,1
迁移宫巨门,ziwei,1,依据,迁移宫坐巨门（《紫微斗数全书》迁移宫论）
迁移宫天相,ziwei,1,"宫含[迁移宫,天相,任意]",1
迁移宫天相,ziwei,1,结论,1
迁移宫天相,ziwei,1,依据,迁移宫坐天相（《紫微斗数全书》迁移宫论）
迁移宫天梁,ziwei,1,"宫含[迁移宫,天梁,任意]",1
迁移宫天梁,ziwei,1,结论,1
迁移宫天梁,ziwei,1,依据,迁移宫坐天梁（《紫微斗数全书》迁移宫论）
迁移宫七杀,ziwei,1,"宫含[迁移宫,七杀,任意]",1
迁移宫七杀,ziwei,1,结论,1
迁移宫七杀,ziwei,1,依据,迁移宫坐七杀（《紫微斗数全书》迁移宫论）
迁移宫破军,ziwei,1,"宫含[迁移宫,破军,任意]",1
迁移宫破军,ziwei,1,结论,1
迁移宫破军,ziwei,1,依据,迁移宫坐破军（《紫微斗数全书》迁移宫论）
兄弟宫紫微,ziwei,1,"宫含[兄弟宫,紫微,任意]",1
兄弟宫紫微,ziwei,1,结论,1
兄弟宫紫微,ziwei,1,依据,兄弟宫坐紫微（《紫微斗数全书》兄弟宫论）
兄弟宫天机,ziwei,1,"宫含[兄弟宫,天机,任意]",1
兄弟宫天机,ziwei,1,结论,1
兄弟宫天机,ziwei,1,依据,兄弟宫坐天机（《紫微斗数全书》兄弟宫论）
兄弟宫太阳,ziwei,1,"宫含[兄弟宫,太阳,任意]",1
兄弟宫太阳,ziwei,1,结论,1
兄弟宫太阳,ziwei,1,依据,兄弟宫坐太阳（《紫微斗数全书》兄弟宫论）
兄弟宫武曲,ziwei,1,"宫含[兄弟宫,武曲,任意]",1
兄弟宫武曲,ziwei,1,结论,1
兄弟宫武曲,ziwei,1,依据,兄弟宫坐武曲（《紫微斗数全书》兄弟宫论）
兄弟宫天同,ziwei,1,"宫含[兄弟宫,天同,任意]",1
兄弟宫天同,ziwei,1,结论,1
兄弟宫天同,ziwei,1,依据,兄弟宫坐天同（《紫微斗数全书》兄弟宫论）
兄弟宫廉贞,ziwei,1,"宫含[兄弟宫,廉贞,任意]",1
兄弟宫廉贞,ziwei,1,结论,1
兄弟宫廉贞,ziwei,1,依据,兄弟宫坐廉贞（《紫微斗数全书》兄弟宫论）
兄弟宫天府,ziwei,1,"宫含[兄弟宫,天府,任意]",1
兄弟宫天府,ziwei,1,结论,1
兄弟宫天府,ziwei,1,依据,兄弟宫坐天府（《紫微斗数全书》兄弟宫论）
兄弟宫太阴,ziwei,1,"宫含[兄弟宫,太阴,任意]",1
兄弟宫太阴,ziwei,1,结论,1
兄弟宫太阴,ziwei,1,依据,兄弟宫坐太阴（《紫微斗数全书》兄弟宫论）
兄弟宫贪狼,ziwei,1,"宫含[兄弟宫,贪狼,任意]",1
兄弟宫贪狼,ziwei,1,结论,1
兄弟宫贪狼,ziwei,1,依据,兄弟宫坐贪狼（《紫微斗数全书》兄弟宫论）
兄弟宫巨门,ziwei,1,"宫含[兄弟宫,巨门,任意]",1
兄弟宫巨门,ziwei,1,结论,1
兄弟宫巨门,ziwei,1,依据,兄弟宫坐巨门（《紫微斗数全书》兄弟宫论）
兄弟宫天相,ziwei,1,"宫含[兄弟宫,天相,任意]",1
兄弟宫天相,ziwei,1,结论,1
兄弟宫天相,ziwei,1,依据,兄弟宫坐天相（《紫微斗数全书》兄弟宫论）
兄弟宫天梁,ziwei,1,"宫含[兄弟宫,天梁,任意]",1
兄弟宫天梁,ziwei,1,结论,1
兄弟宫天梁,ziwei,1,依据,兄弟宫坐天梁（《紫微斗数全书》兄弟宫论）
兄弟宫七杀,ziwei,1,"宫含[兄弟宫,七杀,任意]",1
兄弟宫七杀,ziwei,1,结论,1
兄弟宫七杀,ziwei,1,依据,兄弟宫坐七杀（《紫微斗数全书》兄弟宫论）
兄弟宫破军,ziwei,1,"宫含[兄弟宫,破军,任意]",1
兄弟宫破军,ziwei,1,结论,1
兄弟宫破军,ziwei,1,依据,兄弟宫坐破军（《紫微斗数全书》兄弟宫论）
仆役宫紫微,ziwei,1,"宫含[仆役宫,紫微,任意]",1
仆役宫紫微,ziwei,1,结论,1
仆役宫紫微,ziwei,1,依据,仆役宫坐紫微（《紫微斗数全书》仆役宫论）
仆役宫天机,ziwei,1,"宫含[仆役宫,天机,任意]",1
仆役宫天机,ziwei,1,结论,1
仆役宫天机,ziwei,1,依据,仆役宫坐天机（《紫微斗数全书》仆役宫论）
仆役宫太阳,ziwei,1,"宫含[仆役宫,太阳,任意]",1
仆役宫太阳,ziwei,1,结论,1
仆役宫太阳,ziwei,1,依据,仆役宫坐太阳（《紫微斗数全书》仆役宫论）
仆役宫武曲,ziwei,1,"宫含[仆役宫,武曲,任意]",1
仆役宫武曲,ziwei,1,结论,1
仆役宫武曲,ziwei,1,依据,仆役宫坐武曲（《紫微斗数全书》仆役宫论）
仆役宫天同,ziwei,1,"宫含[仆役宫,天同,任意]",1
仆役宫天同,ziwei,1,结论,1
仆役宫天同,ziwei,1,依据,仆役宫坐天同（《紫微斗数全书》仆役宫论）
仆役宫廉贞,ziwei,1,"宫含[仆役宫,廉贞,任意]",1
仆役宫廉贞,ziwei,1,结论,1
仆役宫廉贞,ziwei,1,依据,仆役宫坐廉贞（《紫微斗数全书》仆役宫论）
仆役宫天府,ziwei,1,"宫含[仆役宫,天府,任意]",1
仆役宫天府,ziwei,1,结论,1
仆役宫天府,ziwei,1,依据,仆役宫坐天府（《紫微斗数全书》仆役宫论）
仆役宫太阴,ziwei,1,"宫含[仆役宫,太阴,任意]",1
仆役宫太阴,ziwei,1,结论,1
仆役宫太阴,ziwei,1,依据,仆役宫坐太阴（《紫微斗数全书》仆役宫论）
仆役宫贪狼,ziwei,1,"宫含[仆役宫,贪狼,任意]",1
仆役宫贪狼,ziwei,1,结论,1
仆役宫贪狼,ziwei,1,依据,仆役宫坐贪狼（《紫微斗数全书》仆役宫论）
仆役宫巨门,ziwei,1,"宫含[仆役宫,巨门,任意]",1
仆役宫巨门,ziwei,1,结论,1
仆役宫巨门,ziwei,1,依据,仆役宫坐巨门（《紫微斗数全书》仆役宫论）
仆役宫天相,ziwei,1,"宫含[仆役宫,天相,任意]",1
仆役宫天相,ziwei,1,结论,1
仆役宫天相,ziwei,1,依据,仆役宫坐天相（《紫微斗数全书》仆役宫论）
仆役宫天梁,ziwei,1,"宫含[仆役宫,天梁,任意]",1
仆役宫天梁,ziwei,1,结论,1
仆役宫天梁,ziwei,1,依据,仆役宫坐天梁（《紫微斗数全书》仆役宫论）
仆役宫七杀,ziwei,1,"宫含[仆役宫,七杀,任意]",1
仆役宫七杀,ziwei,1,结论,1
仆役宫七杀,ziwei,1,依据,仆役宫坐七杀（《紫微斗数全书》仆役宫论）
仆役宫破军,ziwei,1,"宫含[仆役宫,破军,任意]",1
仆役宫破军,ziwei,1,结论,1
仆役宫破军,ziwei,1,依据,仆役宫坐破军（《紫微斗数全书》仆役宫论）
父母宫紫微,ziwei,1,"宫含[父母宫,紫微,任意]",1
父母宫紫微,ziwei,1,结论,1
父母宫紫微,ziwei,1,依据,父母宫坐紫微（《紫微斗数全书》父母宫论）
父母宫天机,ziwei,1,"宫含[父母宫,天机,任意]",1
父母宫天机,ziwei,1,结论,1
父母宫天机,ziwei,1,依据,父母宫坐天机（《紫微斗数全书》父母宫论）
父母宫太阳,ziwei,1,"宫含[父母宫,太阳,任意]",1
父母宫太阳,ziwei,1,结论,1
父母宫太阳,ziwei,1,依据,父母宫坐太阳（《紫微斗数全书》父母宫论）
父母宫武曲,ziwei,1,"宫含[父母宫,武曲,任意]",1
父母宫武曲,ziwei,1,结论,1
父母宫武曲,ziwei,1,依据,父母宫坐武曲（《紫微斗数全书》父母宫论）
父母宫天同,ziwei,1,"宫含[父母宫,天同,任意]",1
父母宫天同,ziwei,1,结论,1
父母宫天同,ziwei,1,依据,父母宫坐天同（《紫微斗数全书》父母宫论）
父母宫廉贞,ziwei,1,"宫含[父母宫,廉贞,任意]",1
父母宫廉贞,ziwei,1,结论,1
父母宫廉贞,ziwei,1,依据,父母宫坐廉贞（《紫微斗数全书》父母宫论）
父母宫天府,ziwei,1,"宫含[父母宫,天府,任意]",1
父母宫天府,ziwei,1,结论,1
父母宫天府,ziwei,1,依据,父母宫坐天府（《紫微斗数全书》父母宫论）
父母宫太阴,ziwei,1,"宫含[父母宫,太阴,任意]",1
父母宫太阴,ziwei,1,结论,1
父母宫太阴,ziwei,1,依据,父母宫坐太阴（《紫微斗数全书》父母宫论）
父母宫贪狼,ziwei,1,"宫含[父母宫,贪狼,任意]",1
父母宫贪狼,ziwei,1,结论,1
父母宫贪狼,ziwei,1,依据,父母宫坐贪狼（《紫微斗数全书》父母宫论）
父母宫巨门,ziwei,1,"宫含[父母宫,巨门,任意]",1
父母宫巨门,ziwei,1,结论,1
父母宫巨门,ziwei,1,依据,父母宫坐巨门（《紫微斗数全书》父母宫论）
父母宫天相,ziwei,1,"宫含[父母宫,天相,任意]",1
父母宫天相,ziwei,1,结论,1
父母宫天相,ziwei,1,依据,父母宫坐天相（《紫微斗数全书》父母宫论）
父母宫天梁,ziwei,1,"宫含[父母宫,天梁,任意]",1
父母宫天梁,ziwei,1,结论,1
父母宫天梁,ziwei,1,依据,父母宫坐天梁（《紫微斗数全书》父母宫论）
父母宫七杀,ziwei,1,"宫含[父母宫,七杀,任意]",1
父母宫七杀,ziwei,1,结论,1
父母宫七杀,ziwei,1,依据,父母宫坐七杀（《紫微斗数全书》父母宫论）
父母宫破军,ziwei,1,"宫含[父母宫,破军,任意]",1
父母宫破军,ziwei,1,结论,1
父母宫破军,ziwei,1,依据,父母宫坐破军（《紫微斗数全书》父母宫论）
子女宫紫微,ziwei,1,"宫含[子女宫,紫微,任意]",1
子女宫紫微,ziwei,1,结论,1
子女宫紫微,ziwei,1,依据,子女宫坐紫微（《紫微斗数全书》子女宫论）
子女宫天机,ziwei,1,"宫含[子女宫,天机,任意]",1
子女宫天机,ziwei,1,结论,1
子女宫天机,ziwei,1,依据,子女宫坐天机（《紫微斗数全书》子女宫论）
子女宫太阳,ziwei,1,"宫含[子女宫,太阳,任意]",1
子女宫太阳,ziwei,1,结论,1
子女宫太阳,ziwei,1,依据,子女宫坐太阳（《紫微斗数全书》子女宫论）
子女宫武曲,ziwei,1,"宫含[子女宫,武曲,任意]",1
子女宫武曲,ziwei,1,结论,1
子女宫武曲,ziwei,1,依据,子女宫坐武曲（《紫微斗数全书》子女宫论）
子女宫天同,ziwei,1,"宫含[子女宫,天同,任意]",1
子女宫天同,ziwei,1,结论,1
子女宫天同,ziwei,1,依据,子女宫坐天同（《紫微斗数全书》子女宫论）
子女宫廉贞,ziwei,1,"宫含[子女宫,廉贞,任意]",1
子女宫廉贞,ziwei,1,结论,1
子女宫廉贞,ziwei,1,依据,子女宫坐廉贞（《紫微斗数全书》子女宫论）
子女宫天府,ziwei,1,"宫含[子女宫,天府,任意]",1
子女宫天府,ziwei,1,结论,1
子女宫天府,ziwei,1,依据,子女宫坐天府（《紫微斗数全书》子女宫论）
子女宫太阴,ziwei,1,"宫含[子女宫,太阴,任意]",1
子女宫太阴,ziwei,1,结论,1
子女宫太阴,ziwei,1,依据,子女宫坐太阴（《紫微斗数全书》子女宫论）
子女宫贪狼,ziwei,1,"宫含[子女宫,贪狼,任意]",1
子女宫贪狼,ziwei,1,结论,1
子女宫贪狼,ziwei,1,依据,子女宫坐贪狼（《紫微斗数全书》子女宫论）
子女宫巨门,ziwei,1,"宫含[子女宫,巨门,任意]",1
子女宫巨门,ziwei,1,结论,1
子女宫巨门,ziwei,1,依据,子女宫坐巨门（《紫微斗数全书》子女宫论）
子女宫天相,ziwei,1,"宫含[子女宫,天相,任意]",1
子女宫天相,ziwei,1,结论,1
子女宫天相,ziwei,1,依据,子女宫坐天相（《紫微斗数全书》子女宫论）
子女宫天梁,ziwei,1,"宫含[子女宫,天梁,任意]",1
子女宫天梁,ziwei,1,结论,1
子女宫天梁,ziwei,1,依据,子女宫坐天梁（《紫微斗数全书》子女宫论）
子女宫七杀,ziwei,1,"宫含[子女宫,七杀,任意]",1
子女宫七杀,ziwei,1,结论,1
子女宫七杀,ziwei,1,依据,子女宫坐七杀（《紫微斗数全书》子女宫论）
子女宫破军,ziwei,1,"宫含[子女宫,破军,任意]",1
子女宫破军,ziwei,1,结论,1
子女宫破军,ziwei,1,依据,子女宫坐破军（《紫微斗数全书》子女宫论）
田宅宫紫微,ziwei,1,"宫含[田宅宫,紫微,任意]",1
田宅宫紫微,ziwei,1,结论,1
田宅宫紫微,ziwei,1,依据,田宅宫坐紫微（《紫微斗数全书》田宅宫论）
田宅宫天机,ziwei,1,"宫含[田宅宫,天机,任意]",1
田宅宫天机,ziwei,1,结论,1
田宅宫天机,ziwei,1,依据,田宅宫坐天机（《紫微斗数全书》田宅宫论）
田宅宫太阳,ziwei,1,"宫含[田宅宫,太阳,任意]",1
田宅宫太阳,ziwei,1,结论,1
田宅宫太阳,ziwei,1,依据,田宅宫坐太阳（《紫微斗数全书》田宅宫论）
田宅宫武曲,ziwei,1,"宫含[田宅宫,武曲,任意]",1
田宅宫武曲,ziwei,1,结论,1
田宅宫武曲,ziwei,1,依据,田宅宫坐武曲（《紫微斗数全书》田宅宫论）
田宅宫天同,ziwei,1,"宫含[田宅宫,天同,任意]",1
田宅宫天同,ziwei,1,结论,1
田宅宫天同,ziwei,1,依据,田宅宫坐天同（《紫微斗数全书》田宅宫论）
田宅宫廉贞,ziwei,1,"宫含[田宅宫,廉贞,任意]",1
田宅宫廉贞,ziwei,1,结论,1
田宅宫廉贞,ziwei,1,依据,田宅宫坐廉贞（《紫微斗数全书》田宅宫论）
田宅宫天府,ziwei,1,"宫含[田宅宫,天府,任意]",1
田宅宫天府,ziwei,1,结论,1
田宅宫天府,ziwei,1,依据,田宅宫坐天府（《紫微斗数全书》田宅宫论）
田宅宫太阴,ziwei,1,"宫含[田宅宫,太阴,任意]",1
田宅宫太阴,ziwei,1,结论,1
田宅宫太阴,ziwei,1,依据,田宅宫坐太阴（《紫微斗数全书》田宅宫论）
田宅宫贪狼,ziwei,1,"宫含[田宅宫,贪狼,任意]",1
田宅宫贪狼,ziwei,1,结论,1
田宅宫贪狼,ziwei,1,依据,田宅宫坐贪狼（《紫微斗数全书》田宅宫论）
田宅宫巨门,ziwei,1,"宫含[田宅宫,巨门,任意]",1
田宅宫巨门,ziwei,1,结论,1
田宅宫巨门,ziwei,1,依据,田宅宫坐巨门（《紫微斗数全书》田宅宫论）
田宅宫天相,ziwei,1,"宫含[田宅宫,天相,任意]",1
田宅宫天相,ziwei,1,结论,1
田宅宫天相,ziwei,1,依据,田宅宫坐天相（《紫微斗数全书》田宅宫论）
田宅宫天梁,ziwei,1,"宫含[田宅宫,天梁,任意]",1
田宅宫天梁,ziwei,1,结论,1
田宅宫天梁,ziwei,1,依据,田宅宫坐天梁（《紫微斗数全书》田宅宫论）
田宅宫七杀,ziwei,1,"宫含[田宅宫,七杀,任意]",1
田宅宫七杀,ziwei,1,结论,1
田宅宫七杀,ziwei,1,依据,田宅宫坐七杀（《紫微斗数全书》田宅宫论）
田宅宫破军,ziwei,1,"宫含[田宅宫,破军,任意]",1
田宅宫破军,ziwei,1,结论,1
田宅宫破军,ziwei,1,依据,田宅宫坐破军（《紫微斗数全书》田宅宫论）
福德宫紫微,ziwei,1,"宫含[福德宫,紫微,任意]",1
福德宫紫微,ziwei,1,结论,1
福德宫紫微,ziwei,1,依据,福德宫坐紫微（《紫微斗数全书》福德宫论）
福德宫天机,ziwei,1,"宫含[福德宫,天机,任意]",1
福德宫天机,ziwei,1,结论,1
福德宫天机,ziwei,1,依据,福德宫坐天机（《紫微斗数全书》福德宫论）
福德宫太阳,ziwei,1,"宫含[福德宫,太阳,任意]",1
福德宫太阳,ziwei,1,结论,1
福德宫太阳,ziwei,1,依据,福德宫坐太阳（《紫微斗数全书》福德宫论）
福德宫武曲,ziwei,1,"宫含[福德宫,武曲,任意]",1
福德宫武曲,ziwei,1,结论,1
福德宫武曲,ziwei,1,依据,福德宫坐武曲（《紫微斗数全书》福德宫论）
福德宫天同,ziwei,1,"宫含[福德宫,天同,任意]",1
福德宫天同,ziwei,1,结论,1
福德宫天同,ziwei,1,依据,福德宫坐天同（《紫微斗数全书》福德宫论）
福德宫廉贞,ziwei,1,"宫含[福德宫,廉贞,任意]",1
福德宫廉贞,ziwei,1,结论,1
福德宫廉贞,ziwei,1,依据,福德宫坐廉贞（《紫微斗数全书》福德宫论）
福德宫天府,ziwei,1,"宫含[福德宫,天府,任意]",1
福德宫天府,ziwei,1,结论,1
福德宫天府,ziwei,1,依据,福德宫坐天府（《紫微斗数全书》福德宫论）
福德宫太阴,ziwei,1,"宫含[福德宫,太阴,任意]",1
福德宫太阴,ziwei,1,结论,1
福德宫太阴,ziwei,1,依据,福德宫坐太阴（《紫微斗数全书》福德宫论）
福德宫贪狼,ziwei,1,"宫含[福德宫,贪狼,任意]",1
福德宫贪狼,ziwei,1,结论,1
福德宫贪狼,ziwei,1,依据,福德宫坐贪狼（《紫微斗数全书》福德宫论）
福德宫巨门,ziwei,1,"宫含[福德宫,巨门,任意]",1
福德宫巨门,ziwei,1,结论,1
福德宫巨门,ziwei,1,依据,福德宫坐巨门（《紫微斗数全书》福德宫论）
福德宫天相,ziwei,1,"宫含[福德宫,天相,任意]",1
福德宫天相,ziwei,1,结论,1
福德宫天相,ziwei,1,依据,福德宫坐天相（《紫微斗数全书》福德宫论）
福德宫天梁,ziwei,1,"宫含[福德宫,天梁,任意]",1
福德宫天梁,ziwei,1,结论,1
福德宫天梁,ziwei,1,依据,福德宫坐天梁（《紫微斗数全书》福德宫论）
福德宫七杀,ziwei,1,"宫含[福德宫,七杀,任意]",1
福德宫七杀,ziwei,1,结论,1
福德宫七杀,ziwei,1,依据,福德宫坐七杀（《紫微斗数全书》福德宫论）
福德宫破军,ziwei,1,"宫含[福德宫,破军,任意]",1
福德宫破军,ziwei,1,结论,1
福德宫破军,ziwei,1,依据,福德宫坐破军（《紫微斗数全书》福德宫论）
府相朝垣,ziwei,1,"含[patterns,府相朝垣]",1
府相朝垣,ziwei,1,结论,1
府相朝垣,ziwei,1,依据,天府天相朝拱命宫三方——富贵稳健（财帛稳重、有权有财）（《紫微斗数全书》格局篇）
机月同梁,ziwei,1,"含[patterns,机月同梁]",1
机月同梁,ziwei,1,结论,1
机月同梁,ziwei,1,依据,天机太阴天同天梁汇聚命宫三方——公职文职（吏人格局）（《紫微斗数全书》格局篇）
辅弼拱主,ziwei,1,"含[patterns,辅弼拱主]",1
辅弼拱主,ziwei,1,结论,1
辅弼拱主,ziwei,1,依据,左辅右弼拱命宫——贵人辅佐、得人助（《紫微斗数全书》格局篇）
金灿光辉,ziwei,1,"含[patterns,金灿光辉]",1
金灿光辉,ziwei,1,结论,1
金灿光辉,ziwei,1,依据,太阳太阴并明（日月同明）——富贵显达（《紫微斗数全书》格局篇）
日月反背,ziwei,1,"含[patterns,日月反背]",1
日月反背,ziwei,1,结论,1
日月反背,ziwei,1,依据,太阳太阴双双落陷（日月失辉）——劳碌奔波（努力而难显达）（《紫微斗数全书》格局篇）
日主无根,bazi,1,有根[比肩],0
日主无根,bazi,1,有根[劫财],0
日主无根,bazi,1,结论,1
日主无根,bazi,1,依据,日主（比肩/劫财）地支无根——弃命从格之前提
建禄格,bazi,1,日主长生月支[临官],1
建禄格,bazi,1,结论,1
建禄格,bazi,1,依据,月令为日主禄（临官）——建禄格（《子平真诠》）
羊刃格,bazi,1,日主长生月支[帝旺],1
羊刃格,bazi,1,结论,1
羊刃格,bazi,1,依据,月令为日主羊刃（帝旺）——羊刃格（《子平真诠》）
从财格,bazi,1,财旺,1
从财格,bazi,1,身弱,1
从财格,bazi,1,日主无根,1
从财格,bazi,1,结论,1
从财格,bazi,1,依据,财星极旺+日主无根——弃命从财（《子平真诠》从财格）
从杀成格,bazi,1,七杀旺,1
从杀成格,bazi,1,身弱,1
从杀成格,bazi,1,日主无根,1
从儿格,bazi,1,食伤旺,1
从儿格,bazi,1,身弱,1
从儿格,bazi,1,日主无根,1
从儿格,bazi,1,结论,1
从儿格,bazi,1,依据,食伤极旺+日主无根——弃命从儿（《子平真诠》从儿格）
杀印相生,bazi,1,七杀旺,1
杀印相生,bazi,1,印星旺,1
杀印相生,bazi,1,结论,1
杀印相生,bazi,1,依据,七杀旺+印星旺——杀印相生，化杀为权（《子平真诠》杀印相生格）
无印,bazi,1,现[正印],0
无印,bazi,1,现[偏印],0
无印,bazi,1,结论,1
无印,bazi,1,依据,正印偏印皆不现——无从化杀生身，弃命从格前提
从财格,bazi,1,无印,1
从杀成格,bazi,1,无印,1
从儿格,bazi,1,无印,1
从财格,bazi,1,七杀旺,0
从杀成格,bazi,1,财旺,0
从儿格,bazi,1,财旺,0
从儿格,bazi,1,七杀旺,0
命宫左辅,ziwei,1,"宫含[命宫,左辅,任意]",1
命宫左辅,ziwei,1,结论,1
命宫左辅,ziwei,1,依据,左辅坐命宫——贵人辅佐、得人助（《紫微斗数全书》辅星论）
命宫右弼,ziwei,1,"宫含[命宫,右弼,任意]",1
命宫右弼,ziwei,1,结论,1
命宫右弼,ziwei,1,依据,右弼坐命宫——贵人辅佐、得人助（《紫微斗数全书》辅星论）
命宫文昌,ziwei,1,"宫含[命宫,文昌,任意]",1
命宫文昌,ziwei,1,结论,1
命宫文昌,ziwei,1,依据,文昌坐命宫——才学聪明、文采（《紫微斗数全书》辅星论）
命宫文曲,ziwei,1,"宫含[命宫,文曲,任意]",1
命宫文曲,ziwei,1,结论,1
命宫文曲,ziwei,1,依据,文曲坐命宫——才艺聪明、多才（《紫微斗数全书》辅星论）
命宫天魁,ziwei,1,"宫含[命宫,天魁,任意]",1
命宫天魁,ziwei,1,结论,1
命宫天魁,ziwei,1,依据,天魁坐命宫——遇贵、逢凶化吉（《紫微斗数全书》辅星论）
命宫天钺,ziwei,1,"宫含[命宫,天钺,任意]",1
命宫天钺,ziwei,1,结论,1
命宫天钺,ziwei,1,依据,天钺坐命宫——遇贵、逢凶化吉（《紫微斗数全书》辅星论）
命宫禄存,ziwei,1,"宫含[命宫,禄存,任意]",1
命宫禄存,ziwei,1,结论,1
命宫禄存,ziwei,1,依据,禄存坐命宫——财禄、衣食丰足（《紫微斗数全书》辅星论）
命宫天马,ziwei,1,"宫含[命宫,天马,任意]",1
命宫天马,ziwei,1,结论,1
命宫天马,ziwei,1,依据,天马坐命宫——好动、奔波（《紫微斗数全书》辅星论）
财帛宫禄存,ziwei,1,"宫含[财帛宫,禄存,任意]",1
财帛宫禄存,ziwei,1,结论,1
财帛宫禄存,ziwei,1,依据,禄存坐财帛宫——财丰、财帛有积（《紫微斗数全书》辅星论）
迁移宫天马,ziwei,1,"宫含[迁移宫,天马,任意]",1
迁移宫天马,ziwei,1,结论,1
迁移宫天马,ziwei,1,依据,天马坐迁移宫——外出奔波、迁移（《紫微斗数全书》辅星论）
天乙贵人,bazi,1,"含[shen_sha,天乙贵人]",1
天乙贵人,bazi,1,结论,1
天乙贵人,bazi,1,依据,天乙贵人——遇难有救、贵人相助（《三命通会》天乙贵人为吉神第一）
文昌,bazi,1,"含[shen_sha,文昌]",1
文昌,bazi,1,结论,1
文昌,bazi,1,依据,文昌——才学聪明、读书有利（《三命通会》文昌主才学）
将星,bazi,1,"含[shen_sha,将星]",1
将星,bazi,1,结论,1
将星,bazi,1,依据,将星——权柄、统领之才（《三命通会》将星主权柄）
命宫化禄,ziwei,1,"宫含[命宫,任意,化禄]",1
命宫化禄,ziwei,1,结论,1
命宫化禄,ziwei,1,依据,化禄入命宫——福气财禄、一生顺遂（《紫微斗数全书》四化论）
命宫化权,ziwei,1,"宫含[命宫,任意,化权]",1
命宫化权,ziwei,1,结论,1
命宫化权,ziwei,1,依据,化权入命宫——自主权柄、掌权（《紫微斗数全书》四化论）
命宫化科,ziwei,1,"宫含[命宫,任意,化科]",1
命宫化科,ziwei,1,结论,1
